date,USDT,total_market_cap,usdt_dominance
2024-06-05,67319124323.896065,2395039907293583.5,0.0028107725520100948
2024-06-06,58596754704.030205,1839112294208730.0,0.003186143384966126
2024-06-07,83695668033.11858,2579093733948382.0,0.0032451580542203614
2024-06-08,42650586949.906105,1023596553677836.1,0.0041667380372335475
2024-06-09,38456581948.82953,973466288974085.5,0.003950479064802343
2024-06-10,51325465123.68416,1472177990769088.2,0.003486362752704308
2024-06-11,72356568324.36188,2568289649351291.5,0.002817305608136449
2024-06-12,67670739608.82128,2417096930876954.5,0.002799670081260227
2024-06-13,56079703164.02745,1984649508835407.2,0.0028256728915794825
2024-06-14,56704371870.92977,1865438970567567.0,0.003039733422834908
2024-06-15,35804148911.82506,981191670438888.2,0.0036490473768300354
2024-06-16,31940253244.79701,921888576146163.0,0.003464654413911835
2024-06-17,60691395944.366745,2059245845071701.2,0.0029472632463781183
2024-06-18,78660242393.72833,2647053892732220.0,0.002971614692458614
2024-06-19,48273584658.98048,1426683001141026.0,0.003383623735642217
2024-06-20,53020602972.97567,1720297783358265.5,0.003082059599557928
2024-06-21,52837083770.58231,1735921191974855.8,0.0030437489913048795
2024-06-22,26882362969.980606,660335485143768.4,0.004071015957006728
2024-06-23,29246194342.18621,738958911033223.0,0.003957756501142095
2024-06-24,75511694180.35432,2680305133864994.5,0.0028172797651387776
2024-06-25,52491960841.80292,1851020841987122.0,0.0028358384547119064
2024-06-26,44783114722.64991,1409178412829381.0,0.0031779591792591637
2024-06-27,45204283031.15568,1349966012550167.0,0.0033485497124303206
2024-06-28,48777929882.745346,1549854073186194.0,0.003147259521179794
2024-06-29,28264973443.532486,793585656985504.6,0.0035616789687075664
2024-06-30,34881416021.534996,1116419259194644.4,0.003124401136424101
2024-07-01,45829132266.85392,1644237563306651.8,0.0027872573458721517
2024-07-02,39330791493.3767,1283412765230347.8,0.0030645473193744947
2024-07-03,56977246400.306076,1845090117740613.8,0.0030880468033765733
2024-07-04,74707382112.12508,2408025355047317.0,0.003102433367469966
2024-07-05,104433541174.50487,3235078427932636.5,0.0032281610322888736
2024-07-06,43536381913.63406,1238409464847194.8,0.0035155078469144246
2024-07-07,42856787942.890396,1180797698055168.0,0.003629477599209216
2024-07-08,74577211232.7779,2325023724841794.0,0.0032075892575183285
2024-07-09,52772219884.423706,1663535682889467.0,0.00317229263112417
2024-07-10,48304223384.68954,1557816186913606.5,0.003100765275805187
2024-07-11,52291266816.05841,1694717767048559.8,0.003085544261870011
